,Year,Month,Anomaly-Gl,Uncertainty-Gl,Anomaly-NH,Uncertainty-NH,Anomaly-SH,Uncertainty-SH
138,1764,7,-1.751,3.028,,,,
139,1764,8,-1.527,1.048,,,,
140,1764,9,-1.559,2.52,,,,
141,1764,10,0.697,1.779,,,,
142,1764,11,-0.676,2.488,,,,
143,1764,12,1.422,3.272,,,,
144,1765,1,1.142,6.319,,,,
145,1765,2,-0.253,3.234,,,,
146,1765,3,0.779,2.317,,,,
147,1765,4,0.455,1.187,,,,
148,1765,5,-1.093,1.536,,,,
149,1765,6,-3.222,2.411,,,,
150,1765,7,-1.01,2.56,,,,
151,1765,8,-0.743,1.217,,,,
152,1765,9,-1.18,1.185,,,,
153,1765,10,-1.255,1.501,,,,
154,1765,11,-0.33,2.468,,,,
155,1765,12,-0.869,2.359,,,,
156,1766,1,-3.479,4.475,,,,
157,1766,2,0.671,3.05,,,,
158,1766,3,-0.045,2.202,,,,
159,1766,4,-0.754,2.104,,,,
160,1766,5,-0.48,1.459,,,,
161,1766,6,-0.687,3.974,,,,
162,1766,7,-1.632,2.339,,,,
163,1766,8,-0.427,1.686,,,,
164,1766,9,0.019,1.984,,,,
165,1766,10,-0.987,1.851,,,,
166,1766,11,1.378,3.203,,,,
167,1766,12,-1.11,3.095,,,,
168,1767,1,-3.733,4.561,,,,
169,1767,2,-0.507,5.165,,,,
170,1767,3,0.78,4.854,,,,
171,1767,4,-2.558,3.835,,,,
172,1767,5,-1.737,1.361,,,,
173,1767,6,0.58,2.848,,,,
174,1767,7,-1.51,2.916,,,,
175,1767,8,0.642,1.362,,,,
176,1767,9,-0.499,2.054,,,,
177,1767,10,-0.279,2.236,,,,
178,1767,11,2.052,5.134,,,,
179,1767,12,-2.353,3.523,,,,
180,1768,1,-5.409,3.036,,,,
181,1768,2,-3.876,4.405,,,,
182,1768,3,-3.721,3.389,,,,
183,1768,4,-1.639,1.58,,,,
184,1768,5,-2.881,2.053,,,,
185,1768,6,-1.626,1.69,,,,
186,1768,7,-0.573,1.429,,,,
187,1768,8,-1.393,1.447,,,,
188,1768,9,-1.425,2.097,,,,
189,1768,10,-1.487,2.274,,,,
190,1768,11,-1.315,3.017,,,,
191,1768,12,-0.728,4.135,,,,
192,1769,1,-0.284,4.282,,,,
193,1769,2,-1.472,3.053,,,,
194,1769,3,-1.248,3.182,,,,
195,1769,4,0.356,3.055,,,,
196,1769,5,1.094,3.831,,,,
197,1769,6,1.0,1.622,,,,
198,1769,7,-0.413,2.046,,,,
199,1769,8,-0.657,2.341,,,,
200,1769,9,-0.885,1.211,,,,
201,1769,10,-4.065,1.84,,,,
202,1769,11,-3.31,1.749,,,,
203,1769,12,-4.508,2.652,,,,
204,1770,1,-0.722,3.913,,,,
205,1770,2,-0.073,3.17,,,,
206,1770,3,-4.462,2.464,,,,
207,1770,4,0.985,4.31,,,,
208,1770,5,-1.786,1.281,,,,
209,1770,6,-2.339,2.626,,,,
210,1770,7,-3.271,1.522,,,,
211,1770,8,-2.441,2.311,,,,
212,1770,9,-1.16,1.745,,,,
213,1770,10,-0.17,1.495,,,,
214,1770,11,-0.078,3.736,,,,
215,1770,12,1.16,2.757,,,,
216,1771,1,2.128,2.801,,,,
217,1771,2,-4.837,2.886,,,,
218,1771,3,-3.771,2.749,,,,
219,1771,4,-2.908,2.684,,,,
220,1771,5,-1.733,4.298,,,,
221,1771,6,-0.196,1.433,,,,
222,1771,7,-0.875,1.101,,,,
223,1771,8,-0.099,1.883,,,,
224,1771,9,-0.807,1.594,,,,
225,1771,10,0.923,1.46,,,,
226,1771,11,-1.538,1.949,,,,
227,1771,12,-1.139,2.972,,,,
228,1772,1,-1.28,4.575,,,,
229,1772,2,-2.439,5.154,,,,
230,1772,3,-3.198,2.559,,,,
231,1772,4,-0.045,2.013,,,,
232,1772,5,-2.315,1.144,,,,
233,1772,6,-1.575,3.057,,,,
234,1772,7,-0.12,1.964,,,,
235,1772,8,-0.061,2.624,,,,
236,1772,9,-1.763,2.033,,,,
237,1772,10,0.081,1.781,,,,
238,1772,11,2.026,3.699,,,,
239,1772,12,2.251,3.05,,,,
240,1773,1,-3.285,2.949,,,,
241,1773,2,-2.235,2.967,,,,
242,1773,3,-1.417,1.963,,,,
243,1773,4,0.935,2.292,,,,
244,1773,5,1.41,1.314,,,,
245,1773,6,-1.135,1.343,,,,
246,1773,7,-0.235,1.169,,,,
247,1773,8,-0.508,1.799,,,,
248,1773,9,0.31,1.277,,,,
249,1773,10,0.149,1.559,,,,
250,1773,11,-2.369,3.835,,,,
251,1773,12,2.1,3.274,,,,
252,1774,1,-3.528,5.277,,,,
253,1774,2,0.724,4.895,,,,
254,1774,3,-0.432,2.506,,,,
255,1774,4,1.478,3.029,,,,
256,1774,5,5.376,2.057,,,,
257,1774,6,1.464,4.398,,,,
258,1774,7,1.662,4.231,,,,
259,1774,8,0.005,1.211,,,,
260,1774,9,-1.4,1.301,,,,
261,1774,10,-0.841,2.729,,,,
262,1774,11,-3.024,3.57,,,,
263,1774,12,-3.324,3.745,,,,
264,1775,1,1.101,3.504,,,,
265,1775,2,2.215,3.252,,,,
266,1775,3,1.316,1.995,,,,
267,1775,4,-1.624,1.307,,,,
268,1775,5,-1.094,1.752,,,,
269,1775,6,-1.821,2.848,,,,
270,1775,7,-0.318,1.562,,,,
271,1775,8,0.135,1.869,,,,
272,1775,9,-1.2,2.316,,,,
273,1775,10,1.028,1.409,,,,
274,1775,11,1.982,2.602,,,,
275,1775,12,-2.185,2.042,,,,
276,1776,1,-3.602,3.962,,,,
277,1776,2,0.629,3.426,,,,
278,1776,3,-1.899,2.604,,,,
279,1776,4,-1.95,1.386,,,,
280,1776,5,-1.944,2.339,,,,
281,1776,6,0.155,1.66,,,,
282,1776,7,-0.987,1.853,,,,
283,1776,8,0.5,2.589,,,,
284,1776,9,-1.983,1.331,,,,
285,1776,10,-1.69,1.92,,,,
286,1776,11,-0.947,3.2,,,,
287,1776,12,0.723,2.166,,,,
288,1777,1,2.795,3.251,,,,
289,1777,2,0.824,5.126,,,,
290,1777,3,-1.18,1.992,,,,
291,1777,4,-3.17,1.496,,,,
292,1777,5,-0.886,1.85,,,,
293,1777,6,-1.847,2.301,,,,
294,1777,7,-2.366,1.622,,,,
295,1777,8,-1.762,1.452,,,,
296,1777,9,-1.334,2.253,,,,
297,1777,10,-2.807,3.217,,,,
298,1777,11,-0.881,2.008,,,,
299,1777,12,-0.436,2.919,,,,
300,1778,1,0.052,3.946,,,,
301,1778,2,1.762,3.327,,,,
302,1778,3,-2.126,3.39,,,,
303,1778,4,1.269,1.417,,,,
304,1778,5,-1.064,1.675,,,,
305,1778,6,-2.617,3.684,,,,
306,1778,7,0.015,1.679,,,,
307,1778,8,-1.85,1.734,,,,
308,1778,9,0.714,1.508,,,,
309,1778,10,-1.807,2.862,,,,
310,1778,11,-2.563,3.093,,,,
311,1778,12,-2.003,2.578,,,,
312,1779,1,-2.001,3.537,,,,
313,1779,2,0.908,5.913,,,,
314,1779,3,0.361,2.105,,,,
315,1779,4,0.16,2.194,,,,
316,1779,5,1.656,1.284,,,,
317,1779,6,-1.989,2.265,,,,
318,1779,7,-1.618,1.443,,,,
319,1779,8,-0.817,1.459,,,,
320,1779,9,0.003,1.407,,,,
