,Year,Month,Anomaly-Gl,Uncertainty-Gl,Anomaly-NH,Uncertainty-NH,Anomaly-SH,Uncertainty-SH
693,1810,10,-2.179,1.301,,,,
694,1810,11,-1.857,3.311,,,,
695,1810,12,-0.834,1.832,,,,
696,1811,1,-1.651,2.172,,,,
697,1811,2,-2.94,2.069,,,,
698,1811,3,-1.238,2.858,,,,
699,1811,4,-2.11,1.219,,,,
700,1811,5,-1.544,1.239,,,,
701,1811,6,-0.991,1.686,,,,
702,1811,7,-2.116,2.216,,,,
703,1811,8,-0.482,1.707,,,,
704,1811,9,-1.652,2.038,,,,
705,1811,10,-2.094,2.38,,,,
706,1811,11,-2.455,1.451,,,,
707,1811,12,0.18,2.153,,,,
708,1812,1,-1.343,3.628,,,,
709,1812,2,-2.96,3.08,,,,
710,1812,3,-3.024,2.352,,,,
711,1812,4,-1.4,3.226,,,,
712,1812,5,-1.819,1.226,,,,
713,1812,6,-1.668,0.892,,,,
714,1812,7,-0.051,1.104,,,,
715,1812,8,1.441,1.191,,,,
716,1812,9,-1.733,2.813,,,,
717,1812,10,-1.425,1.11,,,,
718,1812,11,-1.399,2.402,,,,
719,1812,12,-2.072,2.837,,,,
720,1813,1,-3.797,2.853,,,,
721,1813,2,-0.951,1.869,,,,
722,1813,3,-3.132,2.293,,,,
723,1813,4,-0.178,2.282,,,,
724,1813,5,0.13,3.486,,,,
725,1813,6,-0.469,1.137,,,,
726,1813,7,-0.119,1.159,,,,
727,1813,8,-0.893,0.781,,,,
728,1813,9,0.14,1.944,,,,
729,1813,10,-0.625,1.353,,,,
730,1813,11,0.789,1.544,,,,
731,1813,12,-1.31,1.542,,,,
732,1814,1,-0.851,1.819,,,,
733,1814,2,-1.393,2.768,,,,
734,1814,3,-2.642,2.861,,,,
735,1814,4,-1.247,1.389,,,,
736,1814,5,-2.063,2.975,,,,
737,1814,6,-0.772,1.213,,,,
738,1814,7,-1.858,3.272,,,,
739,1814,8,-1.18,1.877,,,,
740,1814,9,-1.551,1.009,,,,
741,1814,10,-1.655,1.751,,,,
742,1814,11,0.817,2.842,,,,
743,1814,12,2.665,2.746,,,,
744,1815,1,-0.666,1.739,,,,
745,1815,2,-0.893,3.366,,,,
746,1815,3,-1.557,2.452,,,,
747,1815,4,-1.719,1.653,,,,
748,1815,5,-1.451,1.706,,,,
749,1815,6,-2.407,1.156,,,,
750,1815,7,-0.096,2.169,,,,
751,1815,8,-0.663,1.466,,,,
752,1815,9,-0.937,1.043,,,,
753,1815,10,-1.899,2.129,,,,
754,1815,11,-1.984,1.506,,,,
755,1815,12,-2.309,2.295,,,,
756,1816,1,0.254,3.279,,,,
757,1816,2,-3.705,2.975,,,,
758,1816,3,-1.426,2.207,,,,
759,1816,4,-0.801,2.352,,,,
760,1816,5,-0.675,1.953,,,,
761,1816,6,-1.87,0.909,,,,
762,1816,7,-2.318,2.14,,,,
763,1816,8,-1.317,0.815,,,,
764,1816,9,-1.819,0.919,,,,
765,1816,10,-3.773,3.909,,,,
766,1816,11,-1.858,4.067,,,,
767,1816,12,-1.567,2.418,,,,
768,1817,1,-0.758,3.462,,,,
769,1817,2,0.917,2.518,,,,
770,1817,3,-0.127,2.319,,,,
771,1817,4,-0.003,1.786,,,,
772,1817,5,-1.792,1.242,,,,
773,1817,6,-2.447,1.008,,,,
774,1817,7,-2.249,1.42,,,,
775,1817,8,-0.672,1.187,,,,
776,1817,9,-3.762,1.387,,,,
777,1817,10,-2.863,1.995,,,,
778,1817,11,-1.139,1.542,,,,
779,1817,12,-2.781,2.571,,,,
780,1818,1,-0.574,2.627,,,,
781,1818,2,-1.691,2.192,,,,
782,1818,3,0.921,1.814,,,,
783,1818,4,1.911,3.836,,,,
784,1818,5,0.362,1.88,,,,
785,1818,6,0.695,1.85,,,,
786,1818,7,-0.798,1.41,,,,
787,1818,8,-0.748,1.972,,,,
788,1818,9,-1.844,1.605,,,,
789,1818,10,-2.381,1.867,,,,
790,1818,11,-0.1,3.5,,,,
791,1818,12,-0.829,2.015,,,,
792,1819,1,-1.255,1.901,,,,
793,1819,2,-0.946,4.483,,,,
794,1819,3,-2.603,2.145,,,,
795,1819,4,-1.509,1.356,,,,
796,1819,5,-0.893,1.75,,,,
797,1819,6,-0.845,1.569,,,,
798,1819,7,-1.371,1.122,,,,
799,1819,8,-1.304,1.252,,,,
800,1819,9,-0.884,1.39,,,,
801,1819,10,-0.674,1.345,,,,
802,1819,11,-0.83,1.081,,,,
803,1819,12,-1.908,1.533,,,,
804,1820,1,-2.428,3.552,,,,
805,1820,2,-0.693,3.081,,,,
806,1820,3,-0.657,1.931,,,,
807,1820,4,1.055,1.386,,,,
808,1820,5,0.22,1.195,,,,
809,1820,6,-0.152,0.74,,,,
810,1820,7,-0.661,0.798,,,,
811,1820,8,-1.646,1.539,,,,
812,1820,9,-0.8,0.716,,,,
813,1820,10,-1.76,1.219,,,,
814,1820,11,-1.507,1.386,,,,
815,1820,12,-2.015,1.672,,,,
816,1821,1,0.378,2.198,,,,
817,1821,2,0.852,1.992,,,,
818,1821,3,0.125,1.436,,,,
819,1821,4,-0.473,0.868,,,,
820,1821,5,-0.176,0.853,,,,
821,1821,6,-1.325,1.222,,,,
822,1821,7,-1.368,1.181,,,,
823,1821,8,-1.012,0.932,,,,
824,1821,9,-2.118,1.389,,,,
825,1821,10,-1.115,0.89,,,,
826,1821,11,-0.878,1.259,,,,
827,1821,12,-1.056,1.063,,,,
828,1822,1,-0.262,2.095,,,,
829,1822,2,0.989,1.97,,,,
830,1822,3,2.138,2.131,,,,
831,1822,4,-0.319,1.2,,,,
832,1822,5,-0.595,0.812,,,,
833,1822,6,-0.419,0.972,,,,
834,1822,7,-0.586,0.767,,,,
835,1822,8,-0.77,0.929,,,,
836,1822,9,-1.648,1.062,,,,
837,1822,10,-1.481,1.109,,,,
838,1822,11,-1.529,1.24,,,,
839,1822,12,-2.753,1.775,,,,
840,1823,1,-0.807,2.109,,,,
841,1823,2,-0.983,1.581,,,,
842,1823,3,-0.473,2.018,,,,
843,1823,4,-0.726,1.865,,,,
844,1823,5,-0.773,1.14,,,,
845,1823,6,-0.049,1.1,,,,
846,1823,7,-0.062,0.731,,,,
847,1823,8,-0.951,1.095,,,,
848,1823,9,-1.613,1.347,,,,
849,1823,10,-1.62,0.836,,,,
850,1823,11,-1.452,1.082,,,,
851,1823,12,-1.26,1.702,,,,
852,1824,1,0.332,1.542,,,,
853,1824,2,-0.463,2.003,,,,
854,1824,3,-0.023,1.251,,,,
855,1824,4,0.055,1.093,,,,
856,1824,5,-0.082,1.175,,,,
857,1824,6,-0.171,1.682,,,,
858,1824,7,-0.026,1.441,,,,
859,1824,8,-0.867,0.986,,,,
860,1824,9,-0.661,1.329,,,,
861,1824,10,-1.301,0.942,,,,
862,1824,11,-0.744,1.481,,,,
863,1824,12,0.869,1.981,,,,
864,1825,1,0.172,1.87,,,,
865,1825,2,-0.336,1.477,,,,
866,1825,3,-0.38,1.307,,,,
867,1825,4,0.623,1.275,,,,
868,1825,5,-0.358,0.69,,,,
869,1825,6,0.013,1.049,,,,
870,1825,7,-1.003,0.969,,,,
871,1825,8,-0.927,1.454,,,,
872,1825,9,-1.218,1.042,,,,
873,1825,10,-1.086,1.177,,,,
874,1825,11,-0.377,2.185,,,,
875,1825,12,-0.635,1.256,,,,
876,1826,1,-0.653,1.419,,,,
877,1826,2,-1.519,1.539,,,,
878,1826,3,-0.656,1.44,,,,
879,1826,4,-0.137,1.576,,,,
880,1826,5,0.463,0.842,,,,
881,1826,6,-0.194,1.123,,,,
882,1826,7,-0.005,0.755,,,,
883,1826,8,-0.836,1.109,,,,
884,1826,9,-1.032,1.09,,,,
885,1826,10,-0.717,1.034,,,,
886,1826,11,0.596,1.042,,,,
887,1826,12,1.058,1.41,,,,
888,1827,1,0.973,1.62,,,,
889,1827,2,0.5,1.539,,,,
890,1827,3,0.389,1.66,,,,
891,1827,4,0.942,1.856,,,,
892,1827,5,0.361,1.352,,,,
893,1827,6,0.006,0.955,,,,
894,1827,7,0.171,0.715,,,,
895,1827,8,-0.382,1.399,,,,
896,1827,9,-0.91,0.838,,,,
897,1827,10,-0.653,0.84,,,,
898,1827,11,-0.045,1.0,,,,
899,1827,12,-0.541,1.456,,,,
900,1828,1,-1.788,1.904,,,,
901,1828,2,-1.337,1.573,,,,
902,1828,3,0.162,1.389,,,,
903,1828,4,0.341,1.316,,,,
904,1828,5,0.058,1.453,,,,
905,1828,6,0.228,0.946,,,,
906,1828,7,0.071,1.163,,,,
907,1828,8,-0.354,0.843,,,,
908,1828,9,-2.053,0.798,,,,
909,1828,10,-0.601,0.801,,,,
910,1828,11,-0.363,1.012,,,,
911,1828,12,-1.284,1.735,,,,
912,1829,1,-0.826,1.683,,,,
913,1829,2,-1.575,1.578,,,,
914,1829,3,-0.483,1.364,,,,
915,1829,4,-0.581,1.195,,,,
916,1829,5,-0.08,1.224,,,,
917,1829,6,-0.837,1.159,,,,
918,1829,7,-0.205,0.982,,,,
919,1829,8,-0.71,1.345,,,,
920,1829,9,-1.475,0.922,,,,
921,1829,10,-0.677,1.111,,,,
922,1829,11,-1.057,0.933,,,,
923,1829,12,-0.9,1.871,,,,
924,1830,1,0.621,2.355,,,,
925,1830,2,0.949,1.756,,,,
926,1830,3,-0.792,1.249,,,,
927,1830,4,0.368,1.187,,,,
928,1830,5,-1.151,1.395,,,,
929,1830,6,-0.757,1.275,,,,
930,1830,7,0.302,1.012,,,,
931,1830,8,-0.545,1.306,,,,
932,1830,9,-1.625,1.018,,,,
933,1830,10,-1.084,1.168,,,,
934,1830,11,1.425,1.487,,,,
935,1830,12,0.914,1.23,,,,
936,1831,1,-0.115,2.218,,,,
937,1831,2,-0.623,3.478,,,,
938,1831,3,-0.762,1.966,,,,
939,1831,4,-0.554,1.043,,,,
940,1831,5,-0.339,1.486,,,,
941,1831,6,-0.449,1.802,,,,
942,1831,7,-0.868,0.898,,,,
943,1831,8,-1.63,0.766,,,,
944,1831,9,-1.962,0.885,,,,
945,1831,10,-1.38,1.243,,,,
946,1831,11,-1.491,1.763,,,,
947,1831,12,-1.337,1.976,,,,
948,1832,1,-0.472,1.93,,,,
949,1832,2,-1.385,1.58,,,,
950,1832,3,-0.537,1.312,,,,
951,1832,4,-0.448,1.218,,,,
952,1832,5,-0.793,1.047,,,,
953,1832,6,-0.931,0.568,,,,
954,1832,7,-0.778,1.037,,,,
955,1832,8,-1.707,0.788,,,,
956,1832,9,-1.707,0.986,,,,
957,1832,10,-0.724,1.076,,,,
958,1832,11,-1.857,1.212,,,,
959,1832,12,-2.446,1.442,,,,
960,1833,1,-0.351,1.78,,,,
961,1833,2,-0.325,1.522,,,,
962,1833,3,-1.068,1.56,,,,
963,1833,4,-0.603,1.044,,,,
964,1833,5,-0.641,0.592,,,,
965,1833,6,-0.453,0.851,,,,
966,1833,7,-0.761,0.994,,,,
967,1833,8,-0.762,0.89,,,,
968,1833,9,-0.969,0.759,,,,
969,1833,10,-1.356,0.733,,,,
970,1833,11,0.576,1.704,,,,
971,1833,12,-0.38,2.311,,,,
972,1834,1,-2.138,2.335,,,,
973,1834,2,-0.415,1.446,,,,
974,1834,3,0.428,1.02,,,,
975,1834,4,-0.269,1.214,,,,
976,1834,5,-0.02,0.827,,,,
977,1834,6,-0.665,0.733,,,,
978,1834,7,-0.41,0.7,,,,
979,1834,8,-0.656,0.957,,,,
980,1834,9,-0.696,0.737,,,,
981,1834,10,-0.722,0.743,,,,
982,1834,11,0.441,0.968,,,,
983,1834,12,-0.512,1.192,,,,
984,1835,1,0.554,1.775,,,,
985,1835,2,-0.081,1.531,,,,
986,1835,3,-0.925,1.433,,,,
987,1835,4,-0.617,0.839,,,,
988,1835,5,-1.083,0.674,,,,
989,1835,6,-1.407,0.854,,,,
990,1835,7,-1.545,0.89,,,,
991,1835,8,-1.731,0.918,,,,
992,1835,9,-2.117,0.649,,,,
993,1835,10,-1.444,1.126,,,,
994,1835,11,-2.042,1.296,,,,
995,1835,12,-2.16,1.15,,,,
996,1836,1,-0.497,1.435,,,,
997,1836,2,-0.517,1.294,,,,
998,1836,3,0.013,1.05,,,,
999,1836,4,-1.167,0.905,,,,
1000,1836,5,-1.248,0.911,,,,
1001,1836,6,-1.007,0.584,,,,
1002,1836,7,-0.972,0.67,,,,
1003,1836,8,-1.2,1.093,,,,
1004,1836,9,-1.355,1.047,,,,
1005,1836,10,-0.439,1.113,,,,
1006,1836,11,-2.091,1.238,,,,
1007,1836,12,-0.486,1.3,,,,
1008,1837,1,-0.123,1.662,,,,
1009,1837,2,-0.416,1.685,,,,
1010,1837,3,-1.528,1.308,,,,
1011,1837,4,-2.19,0.847,,,,
1012,1837,5,-1.763,1.31,,,,
1013,1837,6,-1.413,0.676,,,,
1014,1837,7,-1.167,0.724,,,,
1015,1837,8,-0.946,0.82,,,,
1016,1837,9,-1.369,0.767,,,,
1017,1837,10,-1.634,0.746,,,,
1018,1837,11,-1.749,1.383,,,,
1019,1837,12,-1.154,1.669,,,,
1020,1838,1,-3.02,1.733,,,,
1021,1838,2,-1.482,1.548,,,,
1022,1838,3,-1.694,1.407,,,,
1023,1838,4,-0.982,1.23,,,,
1024,1838,5,-1.43,0.751,,,,
1025,1838,6,-0.732,0.679,,,,
1026,1838,7,-0.222,0.935,,,,
1027,1838,8,-0.496,0.872,,,,
1028,1838,9,-1.049,1.269,,,,
1029,1838,10,-0.659,0.896,,,,
1030,1838,11,-0.888,1.199,,,,
1031,1838,12,-0.868,1.154,,,,
1032,1839,1,-0.106,1.843,,,,
1033,1839,2,0.473,1.772,,,,
1034,1839,3,-2.65,1.295,,,,
1035,1839,4,-0.463,0.934,,,,
1036,1839,5,-0.992,0.931,,,,
1037,1839,6,-0.767,0.611,,,,
1038,1839,7,0.029,0.678,,,,
1039,1839,8,0.107,0.674,,,,
1040,1839,9,-1.23,0.744,,,,
1041,1839,10,-1.093,0.862,,,,
1042,1839,11,-2.088,1.034,,,,
1043,1839,12,-2.299,1.119,,,,
1044,1840,1,0.384,1.411,0.447,1.333,,
1045,1840,2,-0.94,1.396,-0.821,1.1,,
1046,1840,3,-1.299,1.563,-1.05,1.503,,
1047,1840,4,-0.556,0.76,-0.455,0.622,,
1048,1840,5,-0.214,0.951,-0.002,0.829,,
1049,1840,6,-0.3,1.061,-0.079,0.632,,
1050,1840,7,0.051,0.843,0.233,0.668,,
1051,1840,8,-0.993,0.649,-0.721,0.905,,
1052,1840,9,-1.206,0.634,-1.003,0.68,,
1053,1840,10,-1.788,0.988,-1.83,0.73,,
1054,1840,11,-2.053,1.564,-1.871,0.949,,
1055,1840,12,-1.617,1.44,-1.712,1.101,,
1056,1841,1,-1.723,1.628,-1.713,1.399,,
1057,1841,2,-0.458,1.587,-0.444,1.459,,
1058,1841,3,-2.11,1.091,-1.891,0.916,,
1059,1841,4,-1.668,1.372,-1.642,1.306,,
1060,1841,5,-0.74,0.598,-0.503,0.548,,
1061,1841,6,-0.661,0.887,-0.426,0.728,,
1062,1841,7,-0.063,0.774,0.114,0.706,,
1063,1841,8,-0.477,0.933,-0.212,0.627,,
1064,1841,9,-1.388,0.575,-1.139,0.662,,
1065,1841,10,-0.667,0.653,-0.639,0.8,,
1066,1841,11,-1.577,0.916,-1.353,0.836,,
1067,1841,12,-1.075,2.114,-1.028,1.425,,
1068,1842,1,-0.754,1.717,-0.674,1.477,,
1069,1842,2,-0.275,1.322,-0.098,1.064,,
1070,1842,3,0.365,0.993,0.655,0.906,,
1071,1842,4,-0.213,0.898,-0.14,0.728,,
1072,1842,5,-0.865,0.654,-0.681,0.621,,
1073,1842,6,-1.003,0.715,-0.864,1.084,,
1074,1842,7,-0.937,0.871,-0.809,0.751,,
1075,1842,8,-0.856,0.933,-0.618,0.646,,
1076,1842,9,-1.317,0.626,-1.065,0.725,,
1077,1842,10,-0.979,0.627,-0.937,0.618,,
1078,1842,11,-1.306,0.904,-1.106,0.933,,
1079,1842,12,0.175,1.005,0.208,1.026,,
1080,1843,1,0.668,1.28,0.795,1.017,,
1081,1843,2,0.85,1.339,0.986,1.014,,
1082,1843,3,-0.55,1.253,-0.339,0.828,,
1083,1843,4,-0.577,0.825,-0.576,0.589,,
1084,1843,5,-1.401,0.746,-1.333,0.768,,
1085,1843,6,-1.18,0.538,-1.039,0.525,,
1086,1843,7,-0.654,0.807,-0.535,0.508,,
1087,1843,8,-0.822,0.63,-0.662,0.548,,
1088,1843,9,-1.006,0.588,-0.855,0.583,,
1089,1843,10,-0.58,0.804,-0.628,0.628,,
1090,1843,11,-1.232,1.038,-1.081,0.783,,
1091,1843,12,0.286,1.348,0.269,1.348,,
1092,1844,1,-0.503,1.197,-0.462,1.172,,
1093,1844,2,-1.031,1.292,-0.89,0.862,,
1094,1844,3,-0.623,1.692,-0.421,0.902,,
1095,1844,4,-1.029,0.891,-0.977,0.806,,
1096,1844,5,-1.291,0.758,-1.124,0.562,,
1097,1844,6,-0.808,0.586,-0.688,0.503,,
1098,1844,7,-0.673,0.749,-0.582,0.472,,
1099,1844,8,-1.041,0.931,-0.869,0.601,,
1100,1844,9,-1.309,0.664,-1.143,0.583,,
1101,1844,10,-0.58,0.686,-0.669,0.541,,
1102,1844,11,-1.738,0.872,-1.658,0.673,,
1103,1844,12,-1.697,1.126,-1.865,0.963,,
1104,1845,1,0.098,1.19,0.146,1.213,,
1105,1845,2,-1.62,1.383,-1.554,1.337,,
1106,1845,3,-0.917,0.927,-0.732,0.723,,
1107,1845,4,-0.314,0.663,-0.276,0.727,,
1108,1845,5,-0.946,0.615,-0.82,0.59,,
1109,1845,6,-0.757,0.545,-0.641,0.508,,
1110,1845,7,-0.212,0.952,-0.167,0.621,,
1111,1845,8,-0.515,0.815,-0.376,0.593,,
1112,1845,9,-1.002,0.817,-0.87,1.067,,
1113,1845,10,-1.517,0.947,-1.601,0.883,,
1114,1845,11,-0.933,1.031,-0.854,0.821,,
1115,1845,12,-1.863,1.319,-2.007,1.185,,
1116,1846,1,0.848,2.645,0.817,2.518,,
1117,1846,2,0.333,1.591,0.406,1.246,,
1118,1846,3,1.044,0.97,1.236,0.804,,
1119,1846,4,-0.847,1.61,-0.865,1.215,,
1120,1846,5,-0.409,1.004,,,,
1121,1846,6,-0.074,0.75,0.004,0.971,,
1122,1846,7,0.391,0.616,0.45,0.884,,
1123,1846,8,0.114,0.643,0.289,0.494,,
1124,1846,9,-0.43,0.679,-0.266,0.662,,
1125,1846,10,-1.031,1.085,-1.109,1.181,,
1126,1846,11,-0.915,1.246,-0.867,1.039,,
1127,1846,12,-0.088,0.965,-0.057,0.967,,
1128,1847,1,0.066,1.371,0.203,1.325,,
1129,1847,2,0.303,1.36,0.542,1.071,,
1130,1847,3,-1.411,1.39,-1.245,1.31,,
1131,1847,4,-0.424,0.903,-0.375,0.94,,
1132,1847,5,-0.811,0.681,-0.581,0.638,,
1133,1847,6,-0.79,0.635,-0.568,0.658,,
1134,1847,7,-0.371,0.69,-0.199,0.837,,
1135,1847,8,-0.773,0.716,-0.49,0.609,,
1136,1847,9,-0.745,0.824,-0.509,0.64,,
1137,1847,10,-0.731,0.718,-0.729,0.55,,
1138,1847,11,-0.562,0.987,-0.322,0.776,,
1139,1847,12,-1.999,1.188,-1.946,1.155,,
1140,1848,1,-2.138,1.453,-2.056,1.307,,
1141,1848,2,0.566,1.165,0.792,1.169,,
1142,1848,3,-0.649,0.999,-0.387,0.76,,
1143,1848,4,-0.366,0.899,-0.312,0.639,,
1144,1848,5,-0.824,0.725,-0.589,0.847,,
1145,1848,6,-0.418,0.59,-0.238,0.823,,
1146,1848,7,-0.076,0.596,-0.003,0.715,,
1147,1848,8,-0.693,0.55,-0.556,0.593,,
1148,1848,9,-1.173,0.656,-1.046,0.634,,
1149,1848,10,-0.573,0.798,-0.617,0.734,,
1150,1848,11,-0.803,0.793,-0.728,0.71,,
1151,1848,12,-1.492,1.28,-1.603,1.073,,
1152,1849,1,-0.632,1.389,-0.613,1.223,,
1153,1849,2,-0.581,1.454,-0.431,1.124,,
1154,1849,3,0.004,1.304,0.183,1.137,,
1155,1849,4,-1.278,0.971,-1.235,0.701,,
1156,1849,5,-1.185,0.697,-1.077,0.549,,
1157,1849,6,-0.628,0.806,-0.472,0.728,,
1158,1849,7,-0.105,0.964,-0.038,0.783,,
1159,1849,8,-0.456,0.735,-0.309,0.733,,
1160,1849,9,-1.081,0.793,-0.969,0.549,,
1161,1849,10,-0.408,0.866,-0.455,0.549,,
1162,1849,11,-0.212,1.223,-0.083,1.188,,
1163,1849,12,-1.675,1.119,-1.811,0.659,,
1164,1850,1,-1.853,1.131,-1.889,1.194,,
1165,1850,2,-0.104,1.39,0.059,1.396,,
1166,1850,3,-0.478,0.91,-0.323,1.042,,
1167,1850,4,-1.077,1.085,-1.18,0.802,,
1168,1850,5,-1.298,0.627,-1.187,0.507,,
1169,1850,6,-0.477,0.798,-0.32,0.505,,
1170,1850,7,0.041,0.455,0.113,0.457,,
1171,1850,8,0.041,0.587,0.181,0.553,,
1172,1850,9,-0.716,0.546,-0.581,0.486,,
1173,1850,10,-1.274,0.898,-1.351,0.715,,
1174,1850,11,-1.436,1.018,-1.336,1.353,,
1175,1850,12,-1.121,0.868,-0.858,1.263,,
1176,1851,1,-0.074,1.024,-0.025,0.822,,
1177,1851,2,-0.685,1.12,-0.533,0.892,,
1178,1851,3,-1.176,0.844,-1.027,0.718,,
1179,1851,4,-1.018,0.815,-1.13,0.804,,
1180,1851,5,-0.294,0.895,-0.151,0.721,,
1181,1851,6,-0.296,0.544,-0.118,0.558,,
1182,1851,7,0.003,0.423,0.066,0.442,,
1183,1851,8,-0.329,0.584,-0.169,0.421,,
1184,1851,9,-0.527,0.66,-0.332,0.626,,
1185,1851,10,-0.228,0.897,-0.236,0.872,,
1186,1851,11,-1.205,0.924,-1.099,0.736,,
1187,1851,12,-0.497,1.264,-0.547,0.957,,
1188,1852,1,-0.27,1.424,-0.205,1.054,,
1189,1852,2,-0.813,1.393,-0.66,1.036,,
1190,1852,3,-1.648,1.052,-1.517,0.954,,
1191,1852,4,-0.869,0.92,-0.974,0.762,,
1192,1852,5,-0.169,1.141,-0.032,0.809,,
1193,1852,6,-0.506,0.584,-0.355,0.512,,
1194,1852,7,-0.126,0.45,-0.052,0.419,,
1195,1852,8,-0.837,0.547,-0.692,0.514,,
1196,1852,9,-0.712,0.543,-0.584,0.455,,
1197,1852,10,-0.376,0.681,-0.377,0.51,,
1198,1852,11,-1.524,0.827,-1.466,0.844,,
1199,1852,12,0.171,0.847,0.118,0.854,,
1200,1853,1,-0.839,1.336,-0.77,1.081,,
1201,1853,2,-1.063,1.107,-0.957,1.226,,
1202,1853,3,-1.319,0.918,-1.156,0.864,,
1203,1853,4,-0.68,0.59,-0.771,0.581,,
1204,1853,5,-0.391,0.549,-0.236,0.548,,
1205,1853,6,-0.216,0.496,-0.025,0.559,,
1206,1853,7,0.214,0.581,0.297,0.502,,
1207,1853,8,0.004,0.47,0.132,0.424,,
1208,1853,9,-0.59,0.458,-0.484,0.418,,
1209,1853,10,-0.714,1.275,-0.762,0.631,,
1210,1853,11,-1.41,0.831,-1.338,0.72,,
1211,1853,12,-0.669,0.87,-0.756,0.749,,
1212,1854,1,-1.385,1.066,-1.376,1.111,,
1213,1854,2,-1.354,1.214,-1.222,0.762,,
1214,1854,3,-0.526,0.743,-0.334,0.677,,
1215,1854,4,-0.639,0.654,-0.743,0.887,,
1216,1854,5,-0.287,0.529,-0.147,0.452,,
1217,1854,6,-0.83,0.468,-0.703,0.361,,
1218,1854,7,0.126,0.54,0.242,0.59,,
1219,1854,8,-0.168,0.516,0.002,0.504,,
1220,1854,9,-0.608,0.581,-0.457,0.467,,
1221,1854,10,0.591,0.685,0.598,0.742,,
1222,1854,11,-0.297,0.691,-0.132,0.844,,
1223,1854,12,-0.068,1.012,-0.044,1.654,,
1224,1855,1,0.126,1.463,0.201,1.096,,
1225,1855,2,-0.183,1.259,-0.027,1.212,,
1226,1855,3,-0.639,0.823,-0.491,0.876,,
1227,1855,4,0.335,0.543,0.327,0.811,,
1228,1855,5,-0.054,0.997,0.077,0.515,,
1229,1855,6,-0.547,0.524,-0.35,0.623,,
1230,1855,7,-0.64,0.541,-0.54,0.472,,
1231,1855,8,-0.457,0.494,-0.33,0.484,,
1232,1855,9,-0.961,0.457,-0.847,0.543,,
1233,1855,10,-0.764,0.636,-0.782,0.833,,
1234,1855,11,-0.91,0.746,-0.802,0.65,,
1235,1855,12,-1.573,1.235,-1.675,1.25,,
1236,1856,1,0.177,0.898,0.259,0.9,,
1237,1856,2,-0.985,0.98,-0.858,0.979,,
1238,1856,3,-0.915,1.313,-0.815,0.921,,
1239,1856,4,-0.423,0.583,-0.48,0.57,,
1240,1856,5,-0.627,0.568,-0.437,0.44,,
1241,1856,6,0.023,0.717,0.183,0.808,,
1242,1856,7,-0.111,0.428,-0.1,0.651,,
1243,1856,8,-0.864,0.675,-0.737,0.643,,
1244,1856,9,-1.217,0.645,-1.099,0.609,,
1245,1856,10,-1.181,0.585,-1.238,0.604,,
1246,1856,11,-0.848,0.843,-0.795,0.575,,
1247,1856,12,-0.31,1.193,-0.293,0.89,,
1248,1857,1,-0.8,0.912,-0.803,1.014,,
1249,1857,2,-0.953,0.977,-0.889,0.941,,
1250,1857,3,-0.899,1.357,-0.781,0.787,,
1251,1857,4,-1.462,0.637,-1.521,0.677,,
1252,1857,5,-1.459,0.499,-1.367,0.521,,
1253,1857,6,-0.929,0.385,-0.852,0.529,,
1254,1857,7,-0.542,0.471,-0.476,0.58,,
1255,1857,8,-0.657,0.528,-0.526,0.606,,
1256,1857,9,-0.919,0.457,-0.796,0.695,,
1257,1857,10,-0.998,0.505,-1.048,0.692,,
1258,1857,11,-0.813,0.689,-0.835,0.685,,
1259,1857,12,-0.059,0.749,-0.073,0.83,,
1260,1858,1,-0.037,0.98,-0.012,1.199,,
1261,1858,2,-1.017,0.8,-0.983,0.881,,
1262,1858,3,-0.457,0.983,-0.309,0.67,,
1263,1858,4,0.004,0.487,-0.018,0.808,,
1264,1858,5,-0.382,0.467,-0.23,0.531,,
1265,1858,6,-0.212,0.409,0.025,0.538,,
1266,1858,7,-0.468,0.429,-0.258,0.501,,
1267,1858,8,-0.554,0.562,-0.465,0.599,,
1268,1858,9,-0.87,0.657,-0.737,0.731,,
1269,1858,10,-0.426,0.593,-0.341,0.648,,
1270,1858,11,-0.137,0.621,0.036,0.594,,
1271,1858,12,-1.135,0.668,-1.146,0.696,,
1272,1859,1,-0.621,0.868,-0.497,0.937,,
1273,1859,2,-0.572,0.823,-0.343,0.941,,
1274,1859,3,-0.389,0.602,-0.227,0.81,,
1275,1859,4,0.387,0.615,0.367,0.577,,
1276,1859,5,0.258,0.578,0.425,0.575,,
1277,1859,6,-0.085,0.59,0.058,0.571,,
1278,1859,7,-0.327,0.458,-0.28,0.606,,
1279,1859,8,-0.511,0.469,-0.399,0.478,,
1280,1859,9,-0.917,0.473,-0.82,0.483,,
1281,1859,10,-0.276,0.598,-0.399,0.605,,
1282,1859,11,-0.203,0.552,-0.019,0.615,,
1283,1859,12,-0.321,0.801,-0.444,0.879,,
1284,1860,1,-0.787,0.793,-0.802,0.93,,
1285,1860,2,-0.736,0.758,-0.622,0.733,,
1286,1860,3,-1.912,0.79,-1.885,1.022,,
1287,1860,4,-0.421,0.494,-0.489,0.599,,
1288,1860,5,-0.232,0.594,-0.043,0.626,,
1289,1860,6,-0.139,0.422,0.018,0.422,,
1290,1860,7,-0.102,0.634,-0.095,0.67,,
1291,1860,8,0.018,0.446,0.026,0.621,,
1292,1860,9,-0.27,0.433,-0.182,0.529,,
1293,1860,10,-0.563,0.711,-0.631,0.679,,
